Scope	Level 1	Level 2	Level 3	Level 4	Column Text	UOM	GHG/Unit	GHG Conversion Factor 2022
Scope 1	Refrigerant & other	Other products	Trifluoromethyl sulphur pentafluoride		Total emissions including non-Kyoto products	kg	kg CO2e	17700.00000
Scope 1	Refrigerant & other	Other products	PFPMIE		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	PFPMIE		Emissions including only non-Kyoto products	kg	kg CO2e	10300.00000
Scope 1	Refrigerant & other	Other products	PFPMIE		Total emissions including non-Kyoto products	kg	kg CO2e	10300.00000
Scope 1	Refrigerant & other	Other products	Dimethylether		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	Dimethylether		Emissions including only non-Kyoto products	kg	kg CO2e	1.00000
Scope 1	Refrigerant & other	Other products	Dimethylether		Total emissions including non-Kyoto products	kg	kg CO2e	1.00000
Scope 1	Refrigerant & other	Other products	Methylene chloride		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	Methylene chloride		Emissions including only non-Kyoto products	kg	kg CO2e	9.00000
Scope 1	Refrigerant & other	Other products	Methylene chloride		Total emissions including non-Kyoto products	kg	kg CO2e	9.00000
Scope 1	Refrigerant & other	Other products	Methyl chloride		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	Methyl chloride		Emissions including only non-Kyoto products	kg	kg CO2e	13.00000
Scope 1	Refrigerant & other	Other products	Methyl chloride		Total emissions including non-Kyoto products	kg	kg CO2e	13.00000
Scope 1	Refrigerant & other	Other products	R290 = propane		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R290 = propane		Emissions including only non-Kyoto products	kg	kg CO2e	3.00000
Scope 1	Refrigerant & other	Other products	R290 = propane		Total emissions including non-Kyoto products	kg	kg CO2e	3.00000
Scope 1	Refrigerant & other	Other products	R600A = isobutane		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R600A = isobutane		Emissions including only non-Kyoto products	kg	kg CO2e	3.00000
Scope 1	Refrigerant & other	Other products	R600A = isobutane		Total emissions including non-Kyoto products	kg	kg CO2e	3.00000
Scope 1	Refrigerant & other	Other products	R600 = butane		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R600 = butane		Emissions including only non-Kyoto products	kg	kg CO2e	4.00000
Scope 1	Refrigerant & other	Other products	R600 = butane		Total emissions including non-Kyoto products	kg	kg CO2e	4.00000
Scope 1	Refrigerant & other	Other products	R601 = pentane		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R601 = pentane		Emissions including only non-Kyoto products	kg	kg CO2e	5.00000
Scope 1	Refrigerant & other	Other products	R601 = pentane		Total emissions including non-Kyoto products	kg	kg CO2e	5.00000
Scope 1	Refrigerant & other	Other products	R601A = isopentane		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R601A = isopentane		Emissions including only non-Kyoto products	kg	kg CO2e	5.00000
Scope 1	Refrigerant & other	Other products	R601A = isopentane		Total emissions including non-Kyoto products	kg	kg CO2e	5.00000
Scope 1	Refrigerant & other	Other products	R170 = ethane		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R170 = ethane		Emissions including only non-Kyoto products	kg	kg CO2e	6.00000
Scope 1	Refrigerant & other	Other products	R170 = ethane		Total emissions including non-Kyoto products	kg	kg CO2e	6.00000
Scope 1	Refrigerant & other	Other products	R1270 = propene		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R1270 = propene		Emissions including only non-Kyoto products	kg	kg CO2e	2.00000
Scope 1	Refrigerant & other	Other products	R1270 = propene		Total emissions including non-Kyoto products	kg	kg CO2e	2.00000
Scope 1	Refrigerant & other	Other products	R1234yf*		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R1234yf*		Emissions including only non-Kyoto products	kg	kg CO2e	< 1
Scope 1	Refrigerant & other	Other products	R1234yf*		Total emissions including non-Kyoto products	kg	kg CO2e	< 1
Scope 1	Refrigerant & other	Other products	R1234ze*		Emissions including only Kyoto products	kg	kg CO2e	
Scope 1	Refrigerant & other	Other products	R1234ze*		Emissions including only non-Kyoto products	kg	kg CO2e	< 1
Scope 1	Refrigerant & other	Other products	R1234ze*		Total emissions including non-Kyoto products	kg	kg CO2e	< 1
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	km	kg CO2e	0.10829
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	km	kg CO2e of CO2	0.10641
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	km	kg CO2e of N2O	0.00188
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	km	kg CO2e	0.13421
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	km	kg CO2e of CO2	0.13353
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	km	kg CO2e of CH4	0.00032
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	km	kg CO2e of N2O	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	km	kg CO2e	0.13400
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	km	kg CO2e of CO2	0.13331
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	km	kg CO2e of CH4	0.00031
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	km	kg CO2e of N2O	0.00038
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	km	kg CO2e	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CO2	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CH4	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	km	kg CO2e of N2O	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	km	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	km	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	km	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	miles	kg CO2e	0.17429
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	miles	kg CO2e of CO2	0.17125
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	miles	kg CO2e of CH4	0.00001
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Diesel	miles	kg CO2e of N2O	0.00303
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	miles	kg CO2e	0.21598
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	miles	kg CO2e of CO2	0.21489
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	miles	kg CO2e of CH4	0.00051
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Petrol	miles	kg CO2e of N2O	0.00058
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	miles	kg CO2e	0.21566
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	miles	kg CO2e of CO2	0.21455
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	miles	kg CO2e of CH4	0.00050
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Unknown	miles	kg CO2e of N2O	0.00061
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CO2	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CH4	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of N2O	
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	miles	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	miles	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	miles	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Mini		Battery Electric Vehicle	miles	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	km	kg CO2e	0.13276
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	km	kg CO2e of CO2	0.13088
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	km	kg CO2e of N2O	0.00188
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	km	kg CO2e	0.14802
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	km	kg CO2e of CO2	0.14734
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	km	kg CO2e of CH4	0.00032
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	km	kg CO2e of N2O	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	km	kg CO2e	0.14601
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	km	kg CO2e of CO2	0.14515
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	km	kg CO2e of CH4	0.00027
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	km	kg CO2e of N2O	0.00059
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	km	kg CO2e	0.02216
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CO2	0.02202
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CH4	0.00007
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	km	kg CO2e of N2O	0.00007
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	km	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	km	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	km	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	miles	kg CO2e	0.21368
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	miles	kg CO2e of CO2	0.21064
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	miles	kg CO2e of CH4	0.00001
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Diesel	miles	kg CO2e of N2O	0.00303
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	miles	kg CO2e	0.23821
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	miles	kg CO2e of CO2	0.23712
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	miles	kg CO2e of CH4	0.00051
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Petrol	miles	kg CO2e of N2O	0.00058
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	miles	kg CO2e	0.23498
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	miles	kg CO2e of CO2	0.23360
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	miles	kg CO2e of CH4	0.00043
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Unknown	miles	kg CO2e of N2O	0.00095
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e	0.03567
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CO2	0.03544
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CH4	0.00012
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of N2O	0.00011
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	miles	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	miles	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	miles	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Supermini		Battery Electric Vehicle	miles	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	km	kg CO2e	0.14461
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	km	kg CO2e of CO2	0.14273
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	km	kg CO2e of N2O	0.00188
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	km	kg CO2e	0.17162
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	km	kg CO2e of CO2	0.17094
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	km	kg CO2e of CH4	0.00032
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	km	kg CO2e of N2O	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	km	kg CO2e	0.15893
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	km	kg CO2e of CO2	0.15765
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	km	kg CO2e of CH4	0.00016
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	km	kg CO2e of N2O	0.00112
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e	0.06258
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CO2	0.06216
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CH4	0.00022
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e of N2O	0.00020
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	km	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	km	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	km	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	miles	kg CO2e	0.23274
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	miles	kg CO2e of CO2	0.22970
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	miles	kg CO2e of CH4	0.00001
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Diesel	miles	kg CO2e of N2O	0.00303
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	miles	kg CO2e	0.27620
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	miles	kg CO2e of CO2	0.27511
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	miles	kg CO2e of CH4	0.00051
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Petrol	miles	kg CO2e of N2O	0.00058
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	miles	kg CO2e	0.25577
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	miles	kg CO2e of CO2	0.25371
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	miles	kg CO2e of CH4	0.00026
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Unknown	miles	kg CO2e of N2O	0.00180
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e	0.10072
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CO2	0.10003
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CH4	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of N2O	0.00033
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	miles	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	miles	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	miles	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Lower medium		Battery Electric Vehicle	miles	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	km	kg CO2e	0.16197
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	km	kg CO2e of CO2	0.16009
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	km	kg CO2e of N2O	0.00188
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	km	kg CO2e	0.19923
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	km	kg CO2e of CO2	0.19855
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	km	kg CO2e of CH4	0.00032
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	km	kg CO2e of N2O	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	km	kg CO2e	0.17031
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	km	kg CO2e of CO2	0.16868
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	km	kg CO2e of CH4	0.00007
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	km	kg CO2e of N2O	0.00156
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e	0.06667
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CO2	0.06621
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CH4	0.00023
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	km	kg CO2e of N2O	0.00023
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	km	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	km	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	km	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	miles	kg CO2e	0.26068
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	miles	kg CO2e of CO2	0.25764
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	miles	kg CO2e of CH4	0.00001
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Diesel	miles	kg CO2e of N2O	0.00303
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	miles	kg CO2e	0.32063
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	miles	kg CO2e of CO2	0.31954
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	miles	kg CO2e of CH4	0.00051
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Petrol	miles	kg CO2e of N2O	0.00058
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	miles	kg CO2e	0.27407
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	miles	kg CO2e of CO2	0.27146
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	miles	kg CO2e of CH4	0.00011
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Unknown	miles	kg CO2e of N2O	0.00250
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e	0.10731
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CO2	0.10656
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CH4	0.00037
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of N2O	0.00038
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	miles	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	miles	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	miles	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Upper medium		Battery Electric Vehicle	miles	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	km	kg CO2e	0.17468
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	km	kg CO2e of CO2	0.17280
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	km	kg CO2e of N2O	0.00188
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	km	kg CO2e	0.21999
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	km	kg CO2e of CO2	0.21931
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	km	kg CO2e of CH4	0.00032
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	km	kg CO2e of N2O	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	km	kg CO2e	0.18547
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	km	kg CO2e of CO2	0.18387
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	km	kg CO2e of CH4	0.00008
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	km	kg CO2e of N2O	0.00152
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	km	kg CO2e	0.06897
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CO2	0.06848
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	km	kg CO2e of CH4	0.00022
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	km	kg CO2e of N2O	0.00027
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	km	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	km	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	km	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	miles	kg CO2e	0.28114
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	miles	kg CO2e of CO2	0.27810
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	miles	kg CO2e of CH4	0.00001
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Diesel	miles	kg CO2e of N2O	0.00303
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	miles	kg CO2e	0.35404
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	miles	kg CO2e of CO2	0.35295
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	miles	kg CO2e of CH4	0.00051
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Petrol	miles	kg CO2e of N2O	0.00058
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	miles	kg CO2e	0.29849
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	miles	kg CO2e of CO2	0.29591
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	miles	kg CO2e of CH4	0.00013
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Unknown	miles	kg CO2e of N2O	0.00245
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	miles	kg CO2e	0.11100
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CO2	0.11021
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of CH4	0.00036
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Plug-in Hybrid Electric Vehicle	miles	kg CO2e of N2O	0.00043
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	miles	kg CO2e	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	miles	kg CO2e of CO2	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	miles	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Executive		Battery Electric Vehicle	miles	kg CO2e of N2O	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Diesel	km	kg CO2e	0.21243
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Diesel	km	kg CO2e of CO2	0.21055
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Diesel	km	kg CO2e of CH4	0.00000
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Diesel	km	kg CO2e of N2O	0.00188
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Petrol	km	kg CO2e	0.32708
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Petrol	km	kg CO2e of CO2	0.32640
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Petrol	km	kg CO2e of CH4	0.00032
Scope 1	Passenger vehicles	Cars (by market segment)	Luxury		Petrol	km	kg CO2e of N2O	0.00036
